epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1435,2.37285,3.63447,3.52327,1.55738,0.01152,0.20271,0.10172,0.03138,0.00931,0.161,0.06817,0.01914,2.00901,3.37364,3.38746,1.34129,0.00031108,0.00031108,0.00031108
2,53.8113,1.7641,2.98952,1.68583,1.15815,0.10327,0.58225,0.41499,0.22664,0.09047,0.52284,0.35316,0.16212,1.75876,3.01724,2.53191,1.23961,0.000507883,0.000507883,0.000507883
3,78.8536,1.59012,2.82478,1.29705,1.12387,0.64505,0.4162,0.55865,0.31091,0.60872,0.38158,0.49498,0.24416,1.55198,2.75267,1.69773,1.14089,0.000577098,0.000577098,0.000577098
4,103.209,1.4971,2.63254,1.15517,1.09137,0.64775,0.54456,0.63679,0.38627,0.62431,0.50325,0.57846,0.27946,1.41272,2.62362,1.26692,1.09568,0.000451066,0.000451066,0.000451066
5,128.28,1.4545,2.57328,1.0789,1.07231,0.65621,0.57227,0.65709,0.4127,0.62231,0.53103,0.59421,0.28218,1.35151,2.51871,1.14606,1.06774,0.000231088,0.000231088,0.000231088
