epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.84,0,0,114.052,0,0,0,0,0,0,0,0,0,0,0,174.473,0,0.000362927,0.000362927,0.000362927
2,839.344,0,0,92.6913,0,0,0,0,0,0,0,0,0,0,0,387.321,0,0.000718741,0.000718741,0.000718741
3,1256.48,0,0,78.7273,0,0,0,0,0,0,0,0,0,0,0,113.581,0,0.00105989,0.00105989,0.00105989
4,1675.19,0,0,64.633,0,0,0,0,0,0,0,0,0,0,0,144.095,0,0.00104501,0.00104501,0.00104501
5,2087.37,0,0,51.1873,0,0,0,0,0,0,0,0,0,0,0,72.8075,0,0.00102301,0.00102301,0.00102301
6,2478.25,0,0,39.4631,0,0,0,0,0,0,0,0,0,0,0,52.5696,0,0.00100101,0.00100101,0.00100101
7,2834.28,0,0,29.8058,0,0,0,0,0,0,0,0,0,0,0,40.3657,0,0.000979013,0.000979013,0.000979013
