epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7170.19,1.11741,1.74601,0.51455,0.97726,0.97562,0.94239,0.97959,0.70063,0.92336,0.89285,0.92753,0.50349,1.07154,1.66537,0.49378,0.996,0.000495062,0.000495062,0.000495062
30,7421.91,1.11267,1.74371,0.5136,0.97763,0.97896,0.94165,0.97993,0.70623,0.93583,0.89252,0.93115,0.50499,1.04077,1.66726,0.47581,0.98334,0.000473064,0.000473064,0.000473064
31,7684.3,1.09158,1.6988,0.50707,0.9707,0.98222,0.94428,0.98211,0.7009,0.92582,0.88097,0.91655,0.47999,1.05627,1.64527,0.48309,0.98585,0.000451066,0.000451066,0.000451066
32,7936.98,1.07907,1.67994,0.5017,0.9665,0.98378,0.93823,0.97931,0.70237,0.93215,0.89569,0.93024,0.50505,1.05794,1.62949,0.47931,0.98746,0.000429068,0.000429068,0.000429068
33,8184.14,1.07372,1.65229,0.49826,0.95842,0.98471,0.95138,0.98161,0.71354,0.9352,0.90489,0.93848,0.51817,1.0236,1.63094,0.46578,0.97615,0.00040707,0.00040707,0.00040707
34,8402.2,1.09134,1.68269,0.50299,0.96956,0.98471,0.94375,0.98066,0.71305,0.93847,0.90114,0.93519,0.50212,1.04181,1.62745,0.47358,0.98788,0.000385073,0.000385073,0.000385073
35,8640.91,1.06792,1.669,0.49149,0.95976,0.98098,0.95288,0.98232,0.71558,0.93959,0.89915,0.93187,0.50269,1.02649,1.59429,0.461,0.9747,0.000363075,0.000363075,0.000363075
36,8863.1,1.06334,1.65132,0.4916,0.95381,0.9842,0.95558,0.98467,0.71773,0.94964,0.8976,0.93752,0.51771,1.02874,1.58274,0.46583,0.98218,0.000341077,0.000341077,0.000341077
37,9109.31,1.06274,1.65122,0.4855,0.96385,0.98741,0.9538,0.98438,0.72332,0.95041,0.90782,0.94552,0.53792,1.00797,1.5853,0.45142,0.97572,0.000319079,0.000319079,0.000319079
38,9331.34,1.06767,1.64037,0.48463,0.95619,0.98564,0.95178,0.98805,0.73125,0.94892,0.9059,0.94417,0.5368,1.00872,1.56434,0.44458,0.9764,0.000297081,0.000297081,0.000297081
39,9544.97,1.03176,1.60081,0.4725,0.95485,0.98014,0.95781,0.98796,0.72827,0.93889,0.90834,0.94269,0.53075,1.00333,1.57592,0.44487,0.97408,0.000275084,0.000275084,0.000275084
40,9797.51,1.03935,1.58535,0.4711,0.95444,0.9809,0.96262,0.9882,0.72804,0.92975,0.91036,0.93159,0.51269,1.00725,1.5427,0.44633,0.96835,0.000253086,0.000253086,0.000253086
41,10056,1.03032,1.55956,0.46328,0.9626,0.98654,0.95526,0.98668,0.72938,0.94631,0.91313,0.94481,0.5431,1.0099,1.54831,0.45349,0.9651,0.000231088,0.000231088,0.000231088
42,10250.2,1.01898,1.525,0.45617,0.95777,0.98114,0.9599,0.98499,0.72731,0.94871,0.91782,0.94695,0.54675,0.9873,1.53775,0.44441,0.95489,0.00020909,0.00020909,0.00020909
43,10469.7,1.00519,1.53841,0.44918,0.95988,0.9837,0.96019,0.98702,0.72749,0.94912,0.92638,0.95443,0.54257,1.01104,1.52315,0.44193,0.97917,0.000187092,0.000187092,0.000187092
44,10660.8,1.00402,1.51863,0.44685,0.95719,0.98851,0.95845,0.98871,0.73356,0.95329,0.92709,0.95572,0.56053,0.98153,1.48739,0.43845,0.95785,0.000165095,0.000165095,0.000165095
45,10889.1,0.99968,1.47518,0.444,0.95009,0.98688,0.96144,0.98924,0.74017,0.94583,0.92274,0.95289,0.55408,0.9766,1.48268,0.43165,0.95865,0.000143097,0.000143097,0.000143097
46,11096,0.99075,1.4817,0.43779,0.94451,0.98773,0.96033,0.98605,0.74043,0.9444,0.91744,0.94778,0.54592,0.97366,1.4794,0.43188,0.95375,0.000121099,0.000121099,0.000121099
47,11311.9,0.99171,1.48403,0.43774,0.94442,0.98142,0.96848,0.98792,0.74092,0.9426,0.92342,0.94939,0.54465,0.97262,1.47886,0.42678,0.95344,9.91012e-05,9.91012e-05,9.91012e-05
48,11508.4,0.97939,1.46385,0.43401,0.9412,0.98493,0.96863,0.98899,0.7429,0.94792,0.92975,0.95479,0.54226,0.96147,1.45773,0.42421,0.95671,7.71034e-05,7.71034e-05,7.71034e-05
49,11739.4,0.97724,1.4454,0.43113,0.94335,0.98725,0.96938,0.98913,0.74732,0.94761,0.93006,0.95526,0.55125,0.95816,1.45127,0.41986,0.95567,5.51056e-05,5.51056e-05,5.51056e-05
50,11943.3,0.97255,1.44518,0.42781,0.9451,0.98752,0.96942,0.99097,0.74845,0.95019,0.93158,0.95638,0.55025,0.94852,1.44239,0.41729,0.95076,3.31078e-05,3.31078e-05,3.31078e-05
