epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.775,1.96787,3.24978,2.24101,1.43445,0.73004,0.66929,0.74556,0.44327,0.70015,0.62211,0.6716,0.30074,1.48395,3.45931,1.18371,1.1866,0.00031108,0.00031108,0.00031108
2,503.556,1.36532,2.57121,0.81999,1.06983,0.82925,0.75154,0.82327,0.51342,0.77544,0.68315,0.71798,0.33676,1.34112,2.74428,1.00357,1.1255,0.000620731,0.000620731,0.000620731
3,759.14,1.36935,2.48011,0.77642,1.07511,0.74119,0.72741,0.75199,0.47059,0.69433,0.66084,0.66621,0.32982,1.34347,2.86256,1.44246,1.12676,0.000917624,0.000917624,0.000917624
4,984.352,1.33041,2.29779,0.73941,1.05975,0.87,0.82328,0.86377,0.51193,0.81699,0.75789,0.75922,0.35395,1.32964,2.57123,0.8091,1.10784,0.00104501,0.00104501,0.00104501
5,1221.24,1.28983,2.2675,0.68896,1.04463,0.85807,0.84769,0.88812,0.54771,0.81349,0.78349,0.79773,0.4007,1.27313,2.4601,0.72467,1.07857,0.00102301,0.00102301,0.00102301
6,1430.34,1.27343,2.16581,0.67118,1.04445,0.91026,0.82848,0.88984,0.57574,0.86689,0.76444,0.80697,0.41306,1.2674,2.22025,0.887,1.1442,0.00100101,0.00100101,0.00100101
7,1695.94,1.28683,2.13405,0.67041,1.04948,0.90566,0.85506,0.91478,0.5842,0.86397,0.79775,0.83044,0.39641,1.23706,2.13,0.79664,1.07272,0.000979013,0.000979013,0.000979013
8,1927.7,1.25961,2.09613,0.6432,1.04174,0.9641,0.88358,0.93929,0.61495,0.92675,0.8387,0.87908,0.46524,1.23621,2.15684,0.66059,1.06688,0.000957015,0.000957015,0.000957015
9,2192,1.26559,2.04788,0.62543,1.02647,0.95137,0.88673,0.93957,0.62199,0.90762,0.83607,0.8708,0.42886,1.19771,2.06779,0.63205,1.04565,0.000935018,0.000935018,0.000935018
10,2430.5,1.23239,2.00859,0.60931,1.01614,0.95596,0.89013,0.94201,0.62662,0.91005,0.82682,0.86315,0.4128,1.18189,2.00755,0.63331,1.04484,0.00091302,0.00091302,0.00091302
11,2689.83,1.23324,1.98591,0.611,1.01677,0.96082,0.88408,0.94299,0.62889,0.93131,0.83392,0.8917,0.47519,1.2096,2.00918,0.61114,1.0355,0.000891022,0.000891022,0.000891022
12,2920.49,1.22576,1.96093,0.59287,1.01615,0.96056,0.8895,0.94977,0.62906,0.90495,0.82858,0.86479,0.41715,1.16748,1.96534,0.58837,1.03534,0.000869024,0.000869024,0.000869024
13,3183.58,1.19999,1.94198,0.59011,1.01485,0.96482,0.89945,0.95138,0.63955,0.9262,0.85544,0.89771,0.48003,1.15203,1.90024,0.58313,1.03021,0.000847026,0.000847026,0.000847026
14,3434.3,1.19123,1.907,0.58787,1.00202,0.95533,0.86933,0.9386,0.62748,0.90347,0.81805,0.86805,0.42602,1.1769,1.96724,0.59631,1.0534,0.000825029,0.000825029,0.000825029
15,3706.33,1.19394,1.92818,0.58225,1.00326,0.95395,0.90289,0.95132,0.65664,0.91549,0.84281,0.88571,0.46069,1.13249,1.95508,0.55038,1.03118,0.000803031,0.000803031,0.000803031
16,3938.42,1.18664,1.89612,0.5733,1.00429,0.94923,0.9097,0.95546,0.64522,0.90693,0.85231,0.89302,0.43898,1.14821,1.85354,0.57128,1.02427,0.000781033,0.000781033,0.000781033
17,4161.34,1.17437,1.90259,0.56599,0.99933,0.964,0.89109,0.94993,0.6535,0.92464,0.84832,0.8922,0.47447,1.12796,1.85717,0.57318,1.02358,0.000759035,0.000759035,0.000759035
18,4417.69,1.17995,1.89128,0.56414,0.99949,0.9753,0.91794,0.96111,0.6647,0.93217,0.87503,0.90451,0.49235,1.11691,1.8246,0.53773,1.01781,0.000737037,0.000737037,0.000737037
19,4667.76,1.15158,1.87102,0.55323,0.99699,0.97831,0.91887,0.96557,0.66167,0.92348,0.86216,0.90296,0.46624,1.12902,1.8243,0.5416,1.02894,0.00071504,0.00071504,0.00071504
20,4913.04,1.16041,1.82828,0.54639,0.99387,0.97676,0.91579,0.96849,0.66714,0.9325,0.86672,0.9058,0.47353,1.13372,1.78786,0.53331,1.02808,0.000693042,0.000693042,0.000693042
21,5173.51,1.15227,1.83633,0.54996,0.99332,0.9788,0.91925,0.96606,0.67235,0.93698,0.87164,0.90986,0.48347,1.10266,1.77963,0.52915,1.00775,0.000671044,0.000671044,0.000671044
22,5409.1,1.13563,1.81196,0.54243,0.99069,0.98756,0.91837,0.96413,0.67784,0.94529,0.87649,0.9105,0.4804,1.0884,1.75433,0.50989,0.99815,0.000649046,0.000649046,0.000649046
23,5645.16,1.15159,1.81704,0.53907,0.99265,0.97673,0.92714,0.96919,0.67943,0.93531,0.88262,0.91729,0.48984,1.09384,1.7567,0.51048,1.01059,0.000627048,0.000627048,0.000627048
24,5890.02,1.12523,1.76153,0.52949,0.98551,0.97082,0.93899,0.97502,0.68578,0.94286,0.86905,0.91599,0.48696,1.08775,1.75105,0.50267,1.00651,0.000605051,0.000605051,0.000605051
25,6158.02,1.1156,1.75467,0.52467,0.98061,0.98378,0.93489,0.9756,0.69106,0.94141,0.88968,0.9292,0.51579,1.07706,1.72197,0.50114,0.99396,0.000583053,0.000583053,0.000583053
26,6400.46,1.11432,1.75315,0.52397,0.97733,0.98146,0.93196,0.97707,0.69607,0.93459,0.87942,0.92496,0.48661,1.07438,1.68482,0.49603,1.00101,0.000561055,0.000561055,0.000561055
27,6661.85,1.12315,1.77065,0.52166,0.98019,0.97623,0.93517,0.97725,0.69511,0.92995,0.88874,0.92639,0.51861,1.08096,1.70615,0.49829,0.99805,0.000539057,0.000539057,0.000539057
28,6913.66,1.0956,1.70474,0.50859,0.96816,0.97849,0.94228,0.98088,0.70008,0.93064,0.89742,0.93198,0.50664,1.06383,1.6631,0.48551,0.98791,0.000517059,0.000517059,0.000517059
