epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.616,1.96787,3.24978,2.24101,1.43445,0.73004,0.66929,0.74556,0.44327,0.70015,0.62211,0.6716,0.30074,1.48395,3.45931,1.18371,1.1866,0.00031108,0.00031108,0.00031108
2,516.022,1.36532,2.57121,0.81999,1.06983,0.82925,0.75154,0.82327,0.51342,0.77544,0.68315,0.71798,0.33676,1.34112,2.74428,1.00357,1.1255,0.000620731,0.000620731,0.000620731
3,773.007,1.36935,2.48011,0.77642,1.07511,0.74119,0.72741,0.75199,0.47059,0.69433,0.66084,0.66621,0.32982,1.34347,2.86256,1.44246,1.12676,0.000917624,0.000917624,0.000917624
4,997.951,1.33041,2.29779,0.73941,1.05975,0.87,0.82328,0.86377,0.51193,0.81699,0.75789,0.75922,0.35395,1.32964,2.57123,0.8091,1.10784,0.00104501,0.00104501,0.00104501
5,1785.81,1.28983,2.2675,0.68896,1.04463,0.85807,0.84769,0.88812,0.54771,0.81349,0.78349,0.79773,0.4007,1.27313,2.4601,0.72467,1.07857,0.00102301,0.00102301,0.00102301
6,1996.66,1.27343,2.16581,0.67118,1.04445,0.91026,0.82848,0.88984,0.57574,0.86689,0.76444,0.80697,0.41306,1.2674,2.22025,0.887,1.1442,0.00100101,0.00100101,0.00100101
7,2338.71,1.28683,2.13405,0.67041,1.04948,0.90566,0.85506,0.91478,0.5842,0.86397,0.79775,0.83044,0.39641,1.23706,2.13,0.79664,1.07272,0.000979013,0.000979013,0.000979013
8,2577.01,1.25961,2.09613,0.6432,1.04174,0.9641,0.88358,0.93929,0.61495,0.92675,0.8387,0.87908,0.46524,1.23621,2.15684,0.66059,1.06688,0.000957015,0.000957015,0.000957015
9,2851.01,1.26559,2.04788,0.62543,1.02647,0.95137,0.88673,0.93957,0.62199,0.90762,0.83607,0.8708,0.42886,1.19771,2.06779,0.63205,1.04565,0.000935018,0.000935018,0.000935018
10,3095.27,1.23239,2.00859,0.60931,1.01614,0.95596,0.89013,0.94201,0.62662,0.91005,0.82682,0.86315,0.4128,1.18189,2.00755,0.63331,1.04484,0.00091302,0.00091302,0.00091302
11,3367.77,1.23324,1.98591,0.611,1.01677,0.96082,0.88408,0.94299,0.62889,0.93131,0.83392,0.8917,0.47519,1.2096,2.00918,0.61114,1.0355,0.000891022,0.000891022,0.000891022
12,3604.31,1.22576,1.96093,0.59287,1.01615,0.96056,0.8895,0.94977,0.62906,0.90495,0.82858,0.86479,0.41715,1.16748,1.96534,0.58837,1.03534,0.000869024,0.000869024,0.000869024
13,3871.74,1.19999,1.94198,0.59011,1.01485,0.96482,0.89945,0.95138,0.63955,0.9262,0.85544,0.89771,0.48003,1.15203,1.90024,0.58313,1.03021,0.000847026,0.000847026,0.000847026
14,4127.66,1.19123,1.907,0.58787,1.00202,0.95533,0.86933,0.9386,0.62748,0.90347,0.81805,0.86805,0.42602,1.1769,1.96724,0.59631,1.0534,0.000825029,0.000825029,0.000825029
